Location,Date collected,Month.code,Time collected (h),Quadrat identifier,Length mm,Growth bands,Shell erosion (mm),Notes
Folly Beach County Park (side B),9/16/2016,September,,9d,95,8,,
Folly Beach County Park (side B),9/16/2016,September,,9d,117,13,,
Folly Beach County Park (side B),9/16/2016,September,,9d,98.1,8,,
Folly Beach County Park (side B),9/16/2016,September,,9d,108.9,10,,
Folly Beach County Park (side B),9/16/2016,September,,9d,103.4,10,,
Folly Beach County Park (side B),9/16/2016,September,,9d,99.8,11,,
Folly Beach County Park (side B),9/16/2016,September,,9d,99.4,8,,
Folly Beach County Park (side B),9/16/2016,September,,9e,120.1,,,
Folly Beach County Park (side B),9/16/2016,September,,9e,92.5,5,,
Folly Beach County Park (side B),9/16/2016,September,,9e,112.6,14,,
Folly Beach County Park (side B),9/16/2016,September,,9e,105,9,,
Folly Beach County Park (side B),9/16/2016,September,,9e,100,6,,
Folly Beach County Park (side B),9/16/2016,September,,9e,98.9,10,,
Folly Beach County Park (side B),9/16/2016,September,,9e,96.1,7,,
Folly Beach County Park (side B),9/16/2016,September,,9e,91.5,6,,
Folly Beach County Park (side B),9/16/2016,September,,9e,90.3,6,,
Folly Beach County Park (side B),9/16/2016,September,,9e,85,3,,
Folly Beach County Park (side B),9/16/2016,September,,9e,51,2,,
Folly Beach County Park (side B),9/16/2016,September,,9f,8.3,,,
Folly Beach County Park (side B),9/16/2016,September,,9f,16,,,
Folly Beach County Park (side B),9/16/2016,September,,9f,107.8,,,
Folly Beach County Park (side B),9/16/2016,September,,9f,99.2,,,
Folly Beach County Park (side B),9/16/2016,September,,9f,85,,,
Folly Beach County Park (side B),9/16/2016,September,,9f,106.6,,,
Folly Beach County Park (side B),9/16/2016,September,,9f,87.8,5,,
Folly Beach County Park (side B),9/16/2016,September,,9f,109.5,12,34,
Folly Beach County Park (side B),9/16/2016,September,,9f,105.7,11,30.5,
Folly Beach County Park (side B),9/16/2016,September,,9f,92.8,8,,
Folly Beach County Park (side B),9/16/2016,September,,9f,106.5,9,,
Folly Beach County Park (side B),9/16/2016,September,,9f,115.9,14,16,
Folly Beach County Park (side B),9/16/2016,September,,9f,99.2,11,,
Folly Beach County Park (side B),9/16/2016,September,,9f,88.9,7,,
Folly Beach County Park (side B),9/16/2016,September,,9f,111.1,12,,
Folly Beach County Park (side B),9/16/2016,September,,9g,94.4,10,25,
Folly Beach County Park (side B),9/16/2016,September,,9g,43.4,2,,
Folly Beach County Park (side B),9/16/2016,September,,9g,105.4,10,33,
Folly Beach County Park (side B),9/16/2016,September,,9g,108.3,10,38,
